Results of Simulation 1

Time	Oral_input_uM	C_rest	C_elim	A_total
80.25	0.00142107	1.29743	20.874	3.91974
80.5	0.00110673	1.21731	20.9288	3.9198
80.75	0.00086192	1.14206	20.9802	3.91984
81	0.000671264	1.07141	21.0284	3.91988
81.25	0.000522781	1.00509	21.0736	3.91991
81.5	0.000407142	0.942833	21.116	3.91993
81.75	0.000317083	0.88441	21.1558	3.91994
82	0.000246944	0.829587	21.1932	3.91996
82.25	0.00019232	0.778146	21.2282	3.91997
82.5	0.000149779	0.729883	21.261	3.91997
82.75	0.000116648	0.684604	21.2918	3.91998
83	9.08457e-05	0.642126	21.3207	3.91998
83.25	7.07507e-05	0.602278	21.3478	3.91999
83.5	5.51007e-05	0.564898	21.3732	3.91999
83.75	4.29125e-05	0.529834	21.3971	3.91999
84	3.34203e-05	0.496944	21.4195	3.91999
84.25	2.60277e-05	0.466094	21.4404	3.92
84.5	2.02704e-05	0.437157	21.4601	3.92
84.75	1.57866e-05	0.410016	21.4785	3.92
85	1.22946e-05	0.384558	21.4959	3.92
85.25	9.57506e-06	0.360681	21.5121	3.92
85.5	7.45707e-06	0.338285	21.5273	3.92
85.75	5.80757e-06	0.317279	21.5416	3.92
86	4.52294e-06	0.297578	21.555	3.92
86.25	3.52247e-06	0.279099	21.5675	3.92
86.5	2.7433e-06	0.261768	21.5793	3.92
86.75	2.13649e-06	0.245513	21.5904	3.92
87	1.6639e-06	0.230267	21.6007	3.92
87.25	1.29584e-06	0.215968	21.6104	3.92
87.5	1.0092e-06	0.202556	21.6196	3.92
87.75	7.85969e-07	0.189977	21.6281	3.92
88	6.12113e-07	0.17818	21.6361	3.92
88.25	4.76714e-07	0.167115	21.6437	3.92
88.5	3.71266e-07	0.156737	21.6507	3.92
88.75	2.89142e-07	0.147004	21.6573	3.92
89	2.25184e-07	0.137875	21.6635	3.92
89.25	1.75373e-07	0.129312	21.6693	3.92
89.5	1.36581e-07	0.121282	21.6748	3.92
89.75	1.06369e-07	0.11375	21.6799	3.92
90	8.28405e-08	0.106686	21.6847	3.92
90.25	6.45163e-08	0.100061	21.6892	3.92
90.5	5.02453e-08	0.0938472	21.6934	3.92
90.75	3.91311e-08	0.0880192	21.6974	3.92
91	3.04753e-08	0.0825531	21.7011	3.92
91.25	2.37342e-08	0.0774265	21.7046	3.92
91.5	1.84842e-08	0.0726182	21.7079	3.92
91.75	1.43955e-08	0.0681085	21.7109	3.92
92	1.12112e-08	0.0638789	21.7138	3.92
92.25	8.73133e-09	0.059912	21.7165	3.92
92.5	6.79997e-09	0.0561914	21.719	3.92
92.75	5.29582e-09	0.0527018	21.7214	3.92
93	4.12439e-09	0.049429	21.7236	3.92
93.25	3.21208e-09	0.0463594	21.7257	3.92
93.5	2.50157e-09	0.0434804	21.7277	3.92
93.75	1.94822e-09	0.0407802	21.7295	3.92
94	1.51728e-09	0.0382477	21.7312	3.92
94.25	1.18166e-09	0.0358725	21.7328	3.92
94.5	9.20275e-10	0.0336448	21.7344	3.92
94.75	7.16711e-10	0.0315554	21.7358	3.92
95	5.58175e-10	0.0295958	21.7371	3.92
95.25	4.34707e-10	0.0277578	21.7384	3.92
95.5	3.3855e-10	0.026034	21.7395	3.92
95.75	2.63663e-10	0.0244173	21.7406	3.92
96	2.05341e-10	0.022901	21.7417	3.92


