"strName","strCAS","CAS","httk","ToxCast","Tox21","NHANES","ExpoCast","Boiling Point Ave.exp","Boiling Point Ave.prd","Boiling Point Med.exp","Boiling Point Med.prd","Boiling Point Rng.exp","Boiling Point Rng.prd","MW","LogP Ave.exp","LogP Ave.prd","LogP Med.exp","LogP Med.prd","LogP Rng.exp","LogP Rng.prd"
"Oxyfluorfen","42874033","42874-03-3","1","1","1","","1","      358 (1)","      372 (4)","      358","      372","          358","          344 to 396","361.7 ","                              4.73 (1)","                              4.47 (5)","                              4.73","                              4.47","                                  4.73","                                  3.62 to 5.21"
"Paclobutrazol","76738620","76738-62-0","1","1","1","","1",""," 357 (4)",""," 357","","     307 to 461","293.79","                              3.20 (1)","                              3.12 (4)","                              3.20","                              3.12","                                  3.20","                                  2.77 to 3.37"
"Paclobutrazol","76738620","76738-62-0","1","1","1","","1",""," 357 (4)",""," 357","","     307 to 461","293.79","                              3.20 (1)","                              3.12 (4)","                              3.20","                              3.12","                                  3.20","                                  2.77 to 3.37"
"Pendimethalin","40487421","40487-42-1","1","1","1","","1","      330 (1)","      368 (4)","      330","      368","          330","          327 to 421","281.31","                              5.20 (1)","                              5.01 (5)","                              5.20","                              5.01","                                  5.20","                                  4.82 to 5.56"
"Pendimethalin","40487421","40487-42-1","1","1","1","","1","      330 (1)","      368 (4)","      330","      368","          330","          327 to 421","281.31","                              5.20 (1)","                              5.01 (5)","                              5.20","                              5.01","                                  5.20","                                  4.82 to 5.56"
"Pendimethalin","40487421","40487-42-1","1","1","1","","1","      330 (1)","      368 (4)","      330","      368","          330","          327 to 421","281.31","                              5.20 (1)","                              5.01 (5)","                              5.20","                              5.01","                                  5.20","                                  4.82 to 5.56"
"Pentachlorobenzene","608935","608-93-5","","","1","","1","      277 (1)","      272 (4)","      277","      272","          277","          265 to 280","250.32","                              5.17 (1)","                              4.90 (5)","                              5.17","                              4.90","                                  5.17","                                  4.60 to 5.22"
"Pentachloronitrobenzene","82688","82-68-8","1","1","1","1","1","      328 (2)","      325 (5)","      328","      325","          328","          319 to 335","295.32","                              4.64 (1)","                              4.57 (5)","                              4.64","                              4.57","                                  4.64","                                  4.16 to 5.03"
"Pentachloronitrobenzene","82688","82-68-8","1","1","1","1","1","      328 (2)","      325 (5)","      328","      325","          328","          319 to 335","295.32","                              4.64 (1)","                              4.57 (5)","                              4.64","                              4.57","                                  4.64","                                  4.16 to 5.03"
"Pentachloronitrobenzene","82688","82-68-8","1","1","1","1","1","      328 (2)","      325 (5)","      328","      325","          328","          319 to 335","295.32","                              4.64 (1)","                              4.57 (5)","                              4.64","                              4.57","                                  4.64","                                  4.16 to 5.03"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Pentachlorophenol","87865","87-86-5","1","1","1","1","1","      309 (3)","      302 (5)","      309","      302","          309 to 310","          291 to 312","266.32","                              5.12 (1)","                              4.86 (5)","                              5.12","                              4.86","                                  5.12","                                  4.74 to 5.04"
"Permethrin","52645531","52645-53-1","1","1","1","1","1","      200 (1)","      412 (5)","      200","      412","          200","          342 to 466","391.29","                              6.50 (1)","                              6.70 (5)","                              6.50","                              6.70","                                  6.50","                                  6.09 to 7.43"
"Phosmet","732116","732-11-6","1","1","1","1","1",""," 412 (4)",""," 412","","     351 to 480","317.31","                              2.78 (1)","                              2.81 (5)","                              2.78","                              2.81","                                  2.78","                                  2.48 to 3.09"
"Phosmet","732116","732-11-6","1","1","1","1","1",""," 412 (4)",""," 412","","     351 to 480","317.31","                              2.78 (1)","                              2.81 (5)","                              2.78","                              2.81","                                  2.78","                                  2.48 to 3.09"
"Picloram","1918021","1918-02-1","1","1","1","","1",""," 352 (5)",""," 352","","     296 to 421","241.45","                              1.90 (1)","                              2.09 (5)","                              1.90","                              2.09","                                  1.90","                                  1.36 to 2.94"
"Picloram","1918021","1918-02-1","1","1","1","","1",""," 352 (5)",""," 352","","     296 to 421","241.45","                              1.90 (1)","                              2.09 (5)","                              1.90","                              2.09","                                  1.90","                                  1.36 to 2.94"
"Picloram","1918021","1918-02-1","1","1","1","","1",""," 352 (5)",""," 352","","     296 to 421","241.45","                              1.90 (1)","                              2.09 (5)","                              1.90","                              2.09","                                  1.90","                                  1.36 to 2.94"
