Iter	V_dist	k_e	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14
127	0.65529	0.477157	6.94055	11.5653	14.4747	16.1255	16.9576	15.939	12.0733	8.29505	3.48599	1.38188	0.207511	0.0307845	0.00456861	0.000697396
128	0.0941408	0.440902	48.5358	81.2699	102.227	114.484	121.733	115.784	89.9939	63.6076	28.4566	12.0692	2.09053	0.357698	0.0611568	0.0106619
129	0.84206	0.0750736	5.68816	10.0121	13.2758	15.716	18.8197	20.3602	21.0145	20.2772	17.823	15.3881	11.4031	8.44529	6.25457	4.63213
130	0.606059	0.53078	7.45317	12.3315	15.3195	16.9363	17.5246	16.191	11.8153	7.79246	2.99226	1.07535	0.13123	0.0157119	0.00191047	0.000170278
131	0.359346	0.44047	12.716	21.2934	26.7858	29.9995	31.903	30.3479	23.5957	16.6829	7.46963	3.17098	0.550026	0.0945373	0.016254	0.00282638
132	0.248799	0.702808	17.7631	28.7348	34.8787	37.6493	37.065	32.4943	21.1865	12.3656	3.62689	0.969996	0.0626424	0.00375054	0.00020251	1.44721e-06
133	0.159899	0.829982	27.1988	43.2847	51.671	54.8365	52.1353	44.0862	26.645	14.3495	3.53709	0.781481	0.0329198	0.00123751	4.58311e-05	5.62846e-06
134	0.516143	0.843015	8.41228	13.3653	15.9279	16.8748	15.9874	13.4708	8.0818	4.31862	1.04674	0.227323	0.00928576	0.000412337	-1.35398e-06	-2.48722e-07
135	0.323141	0.84912	13.4264	21.3149	25.3818	26.8694	25.4154	21.3792	12.7826	6.8061	1.6372	0.352441	0.0139941	0.000491159	1.20425e-05	3.16059e-06
136	0.730766	0.823617	5.95616	9.48646	11.3338	12.0382	11.4646	9.71149	5.89108	3.18461	0.791245	0.176413	0.00754938	0.000327342	7.71873e-05	-7.78603e-05
137	0.83814	0.725358	5.2579	8.48076	10.2632	11.0446	10.8048	9.41046	6.05091	3.47959	0.988071	0.254908	0.015104	0.000879041	6.66783e-05	4.15459e-06
138	0.195603	0.456693	23.3125	38.9527	48.8892	54.6257	57.8039	54.695	42.0357	29.3438	12.7732	5.26041	0.856369	0.137806	0.0221158	0.00363226
139	0.282415	0.82349	15.4122	24.5476	29.3282	31.1515	29.6684	25.1326	15.2467	8.24318	2.04831	0.456673	0.0195992	0.000755819	2.56401e-05	-2.13325e-06
140	0.0949447	0.449539	48.0718	80.3998	101.011	112.982	119.817	113.638	87.783	61.6248	27.1603	11.3361	1.89756	0.314313	0.052029	0.00889281
141	0.392353	0.505024	11.5506	19.1762	23.9075	26.528	27.6629	25.7686	19.1412	12.873	5.1606	1.94331	0.262223	0.0347895	0.0046535	0.000618676
142	0.480058	0.617143	9.30658	15.2235	18.6913	20.4151	20.5955	18.524	12.7555	7.89807	2.63794	0.813639	0.07166	0.00608042	0.000477921	3.7718e-05
143	0.216743	0.114833	21.9852	38.485	50.7305	59.6799	70.5076	75.1605	75.0833	69.9091	56.9398	45.4418	28.7296	18.149	11.4647	7.24259
144	0.519813	0.273367	8.98116	15.3823	19.8135	22.7471	25.4994	25.6735	22.6114	18.3355	11.084	6.47947	2.17706	0.729496	0.244471	0.0818529
145	0.218245	0.5723	20.5881	33.8772	41.8479	45.9938	47.0113	42.8719	30.4144	19.4509	6.97728	2.32744	0.24225	0.0246175	0.0024131	0.00022981
146	0.807564	0.460844	5.6436	9.4246	11.8221	13.2014	13.9517	13.1834	10.1022	7.0291	3.03822	1.24164	0.198905	0.0314891	0.00495756	0.000773392
147	0.238352	0.864978	18.1663	28.7817	34.2032	36.1332	34.0337	28.5063	16.8929	8.91229	2.10245	0.443037	0.0167556	0.000557457	2.61637e-05	-1.42726e-05
148	0.649978	0.694429	6.8066	11.0228	13.3943	14.4747	14.2839	12.5536	8.22784	4.82931	1.43428	0.388751	0.0257255	0.00160485	9.94715e-05	6.68142e-06
149	0.762518	0.577822	5.8885	9.68231	11.9513	13.1253	13.3936	12.1935	8.61877	5.48957	1.9518	0.64476	0.065785	0.0064737	0.000663951	6.17148e-05
150	0.425722	0.765796	10.2987	16.525	19.8924	21.2912	20.5974	17.7322	11.1259	6.23337	1.67223	0.405421	0.0211598	0.000915727	3.85095e-05	3.17883e-07
151	0.148878	0.719581	29.622	47.8147	57.9092	62.3673	61.1121	53.3138	34.4038	19.8588	5.68631	1.48009	0.089943	0.00536658	0.000246736	6.45069e-08
152	0.555221	0.400348	8.27236	13.9267	17.6173	19.8469	21.3699	20.6008	16.4907	12.0385	5.7831	2.64807	0.537928	0.108472	0.0218897	0.00440541
153	0.287283	0.168961	16.471	28.6172	37.4238	43.6563	50.6467	52.9293	50.6095	44.9152	33.0048	23.6727	12.0583	6.13453	3.12074	1.58766
154	0.246689	0.674332	17.9798	29.1926	35.5686	38.5436	38.2518	33.8176	22.4462	13.3559	4.08666	1.14449	0.0813939	0.00549198	0.00034459	1.419e-05
155	0.76791	0.113991	6.20601	10.8649	14.3237	16.8528	19.9161	21.2369	21.2297	19.7816	16.1377	12.9003	8.18326	5.18729	3.28798	2.08403
156	0.285689	0.665154	15.5434	25.2669	30.8233	33.4435	33.2769	29.4999	19.6945	11.7918	3.6578	1.04033	0.0765195	0.00534561	0.000500735	7.04904e-05
157	0.543974	0.232082	8.62805	14.8611	19.2567	22.2468	25.2765	25.8234	23.4857	19.729	12.8768	8.15924	3.23137	1.27716	0.504676	0.199628
