"Compound" "ExpoCast.group" "css95" "oed.AC50p10" "exposure.median.95CI.upper" "aer"
"Dicrotophos" "Age.20.65" 6.8621131666697 0.10856713987443 2.68911216008e-06 40372.856694531
"Diazinon" "Age.20.65" 44.3482795835175 0.146341640779501 3.49823149055206e-06 41833.0351135244
"Azinphos-methyl" "Age.20.65" 0.74060467613376 2.36293404078363 5.38832473345928e-05 43852.8514458452
"Pentachlorophenol" "Age.20.65" 12.0523606581574 0.387310016054037 7.23719002293874e-06 53516.6293584158
"2-phenylphenol" "Age.20.65" 167.525651983855 0.0650646624616657 9.92849631323398e-07 65533.2493551306
"Disulfoton" "Age.20.65" 35.174877188192 0.263369789478891 3.31748539541909e-06 79388.3794763836
"Atrazine" "Age.20.65" 36.8416926143054 0.048613401635748 4.38206284038392e-07 110937.253541277
"Dimethyl phthalate" "Age.20.65" 8.8279947894096 2.29270638268621 1.50739284958461e-05 152097.469701943
"Carbaryl" "Age.20.65" 0.499692809433264 14.0686435091456 7.28029563787943e-05 193242.75014254
"Acephate" "Age.20.65" 8.184703837842 0.274047790175313 1.40666131004026e-06 194821.445801669
"Ethylparaben" "Age.20.65" 2.28156674285291 6.13613432254635 3.0916334845919e-05 198475.477546988
"Butylparaben" "Age.20.65" 5.10433033448199 0.70097344128162 2.90248268770347e-06 241508.224752324
"Pyrene" "Age.20.65" 14.3373561029886 0.594809805848539 2.04871889275187e-06 290332.562438364
"Carbosulfan" "Age.20.65" 7.05059117459571 0.932971411489788 1.08275169332536e-06 861667.007533772
"Diethyltoluamide" "Age.20.65" 4.67907499762292 0.795138355741275 6.58170886676746e-07 1208103.2021275
"p-tert-Octylphenol" "Age.20.65" 2.71205069723951 1.723787835072 1.26045652864619e-06 1367590.07224427
"Nitrobenzene" "Age.20.65" 4.12428952610294 4.27225098734744 1.61965002294527e-06 2637761.81695013
"Metolachlor" "Age.20.65" 0.91071415609519 5.79764788398449 5.51244633650306e-07 10517377.4583398
"Alachlor" "Age.20.65" 0.598503848881599 4.57808250543439 3.19487166777672e-07 14329472.2965202
"Acetochlor" "Age.20.65" 0.220836858864127 8.98400751670119 2.26136710066263e-07 39728213.5840248
"2,4-d" "Age.6.11" 64.6634237293514 3.31949636472107e-06 3.37229675148908e-05 0.0984342900207492
"Naphthalene" "Age.6.11" 43.5912160109002 9.17616062603021e-05 9.2802451178197e-05 0.988784294976257
"Triclosan" "Age.6.11" 2436.54668944055 0.00248958906730115 0.000258900874572777 9.61599326927467
"Fenitrothion" "Age.6.11" 117.945187614166 0.0170587714573133 0.000141397176505699 120.644357114343
"Malathion" "Age.6.11" 14.6688135158945 0.0268937906649734 0.000173899008677944 154.651776737727
"Methylparaben" "Age.6.11" 0.812497338153099 0.236653082996031 0.00100607188444369 235.224825040101
"Permethrin" "Age.6.11" 1394.00064775118 0.00329124667725329 1.26884938669126e-05 259.388286094048
"Di-n-octyl phthalate" "Age.6.11" 60.0996998871113 0.0819471646156455 0.000202491784387721 404.693774927368
"Dimethoate" "Age.6.11" 0.844815140517112 0.0195308999669446 2.4249997282766e-05 805.398027026785
"Pirimiphos-methyl" "Age.6.11" 16.3085138857119 0.15758640045379 0.000155594102397946 1012.80445739999
"Parathion" "Age.6.11" 155.099021134947 0.0137009246380163 1.02493476101811e-05 1336.76065629841
"Chlorpyrifos-methyl" "Age.6.11" 41.2636764374634 0.238320984677742 0.000169154183608938 1408.89796275277
"Chlorethoxyfos" "Age.6.11" 1403.449483373 0.00805159012410049 4.66583365452312e-06 1725.64877367524
"Fenthion" "Age.6.11" 9.22743253464427 0.278517343838708 0.000146715028081276 1898.35593177556
"Diphenylenemethane" "Age.6.11" 18.7977013245126 0.0421860091460179 1.30790430155135e-05 3225.46604487649
